Campaign_ID,Campaign_Name,Campaign_Type,Marketing_Channel,Campaign_Start_Date,Campaign_End_Date,Customer_ID,Customer_Name,Age,Gender,City,State,Country,Customer_Segment,Product_Category,Product_Name,Impressions,Clicks,Leads,Conversions,Engagements,Ad_Spend,Revenue,Profit,Bounce_Rate,Session_Duration,Purchase_Amount,Device_Type,Payment_Method,Campaign_Status,Customer_Feedback,Customer_Rating,Purchase_Date
C022,Festive Offer,Sales,Google Ads,2024-10-01,2024-10-25,100001,Customer_1,21,Male,Mumbai,Maharashtra,India,VIP,Grocery,Rice,22473,3779,168,47,5513,9519.15,31219.14,21699.99,20.13,3.32,664.24,Mobile,Card,Paused,Negative,1,2024-10-25
C021,Mega Deal,Awareness,LinkedIn,2025-02-15,2025-03-07,100002,Customer_2,29,Female,Delhi,Delhi,India,VIP,Electronics,Laptop,19770,2199,949,239,3249,5538.49,13965.05,8426.56,44.85,11.92,58.43,Tablet,UPI,Active,Positive,3,2025-03-07
C049,Summer Sale,Awareness,LinkedIn,2024-09-21,2024-09-28,100003,Customer_3,44,Male,Hyderabad,Telangana,India,New,Home,Mixer,1211,129,54,16,143,8522.48,23776.33,15253.85,25.06,5.53,1486.02,Mobile,Card,Active,Positive,5,2024-09-28
C039,Mega Deal,Sales,Facebook,2024-07-05,2024-07-25,100004,Customer_4,38,Female,Bengaluru,Karnataka,India,VIP,Home,Chair,2191,402,110,47,417,2286.86,3157.83,870.97,54.68,2.38,67.19,Desktop,Card,Active,Negative,4,2024-07-25
C012,Mega Deal,Sales,Google Ads,2025-09-07,2025-09-18,100005,Customer_5,22,Male,Hyderabad,Telangana,India,Returning,Home,Mixer,24871,1213,291,260,2921,8373.64,25637.08,17263.44,36.88,2.68,98.6,Tablet,Cash,Active,Negative,5,2025-09-18
C008,New Launch,Promotion,Google Ads,2025-02-25,2025-03-13,100006,Customer_6,48,Male,Delhi,Delhi,India,VIP,Fashion,Shoes,18940,3489,1631,559,9397,8489.76,15507.83,7018.07,38.01,5.77,27.74,Tablet,UPI,Completed,Neutral,4,2025-03-13
C049,Flash Sale,Promotion,Facebook,2024-10-02,2024-10-31,100007,Customer_7,59,Female,Pune,Maharashtra,India,VIP,Home,Chair,43282,8283,1409,605,19360,3801.15,11659.285,4116.61,41.68,14.47,13.09,Tablet,Cash,Active,Neutral,4,2024-10-31
C045,Festive Offer,Sales,Email,2024-08-02,2024-08-23,100008,Customer_8,56,Male,Mumbai,Maharashtra,India,Returning,Grocery,Oil,48194,9168,4576,2557,26209,5820.34,10251.55,4431.21,66.29,14.06,4.01,Tablet,Net Banking,Completed,Neutral,1,2024-08-23
C005,Summer Sale,Awareness,Facebook,2024-08-20,2024-08-28,100009,Customer_9,40,Male,Hyderabad,Telangana,India,New,Home,Mixer,27859,979,249,219,1081,5184.29,12030.76,2705.79,33.21,2.81,54.93,Desktop,Cash,Completed,Negative,3,2024-08-28
C050,New Launch,Sales,LinkedIn,2024-11-03,2024-11-22,100010,Customer_10,42,Male,Hyderabad,Telangana,India,New,Beauty,Perfume,41704,3177,2993,2347,5088,1861.81,5974.97,4113.16,24.09,4.69,2.55,Desktop,UPI,Completed,Negative,5,2024-11-22
C007,Festive Offer,Promotion,LinkedIn,2025-09-25,2025-10-17,100011,Customer_11,36,Male,Delhi,Delhi,India,Returning,Beauty,Cream,17746,841,321,153,1503,5869.32,15502.32,9633.0,74.0,5.08,101.32,Mobile,Cash,Paused,Neutral,3,2025-10-17
C028,Summer Sale,Awareness,Google Ads,2024-01-28,2024-02-04,100012,Customer_12,30,Female,Mumbai,Maharashtra,India,VIP,Grocery,Oil,8682,1545,182,139,3658,7682.11,10493.2,2811.09,75.41,13.3,75.49,Tablet,UPI,Paused,Negative,5,2024-02-04
C019,Summer Sale,Awareness,LinkedIn,2024-01-06,2024-01-31,100013,Customer_13,40,Male,Hyderabad,Telangana,India,VIP,Electronics,Laptop,9554,702,523,396,1562,3118.15,6407.28,3289.13,40.0,3.77,16.18,Desktop,UPI,Paused,Positive,1,2024-01-31
C013,Mega Deal,Awareness,Google Ads,2025-11-09,2025-11-16,100014,Customer_14,50,Female,Bengaluru,Karnataka,India,Returning,Electronics,Laptop,41669,2892,1435,499,3687,3945.12,6799.09,2853.97,41.65,10.69,13.63,Tablet,Cash,Active,Negative,5,2025-11-16
C039,Summer Sale,Awareness,LinkedIn,2024-06-06,2024-06-20,100015,Customer_15,38,Female,Mumbai,Maharashtra,India,Returning,Fashion,Shoes,29627,1072,886,256,1228,6291.71,15014.06,8722.35,79.34,10.81,58.65,Tablet,Net Banking,Active,Positive,5,2024-06-20
C040,Summer Sale,Awareness,Email,2024-10-10,2024-11-03,100016,Customer_16,52,Male,Hyderabad,Telangana,India,VIP,Fashion,Shoes,23150,674,652,228,1121,2525.12,4396.14,1871.02,66.93,13.91,19.28,Tablet,UPI,Active,Negative,3,2024-11-03
C032,Mega Deal,Promotion,Email,2024-12-14,2024-12-24,100017,Customer_17,53,Male,Bengaluru,Karnataka,India,Returning,Grocery,Rice,49230,658,395,167,1229,3630.56,12059.52,8428.96,52.13,3.77,72.21,Desktop,Net Banking,Active,Neutral,4,2024-12-24
C029,Flash Sale,Sales,LinkedIn,2025-03-06,2025-04-05,100018,Customer_18,48,Female,Bengaluru,Karnataka,India,New,Fashion,T-Shirt,35076,1537,559,202,3100,4233.31,11814.76,7581.45,64.53,2.51,58.49,Tablet,Cash,Paused,Negative,1,2025-04-05
C040,Flash Sale,Awareness,Email,2025-08-22,2025-09-21,100019,Customer_19,35,Female,Bengaluru,Karnataka,India,Returning,Grocery,Oil,43839,1358,570,29,3622,8459.29,24361.57,15902.28,54.29,9.86,840.05,Desktop,UPI,Paused,Positive,1,2025-09-21
C016,Festive Offer,Promotion,Facebook,2025-06-27,2025-07-07,100020,Customer_20,50,Male,Bengaluru,Karnataka,India,Returning,Grocery,Rice,13150,1153,612,448,2752,3419.01,12654.3,9235.29,35.96,7.32,28.25,Mobile,Net Banking,Completed,Neutral,2,2025-07-07
C044,Flash Sale,Promotion,Google Ads,2025-03-29,2025-04-11,100021,Customer_21,44,Female,Delhi,Delhi,India,New,Beauty,Perfume,11621,1586,1047,170,4534,1441.8,4396.62,2954.82,68.59,11.63,25.86,Tablet,Card,Active,Positive,5,2025-04-11
C043,Flash Sale,Awareness,Instagram,2025-01-16,2025-02-15,100022,Customer_22,49,Female,Pune,Maharashtra,India,VIP,Fashion,Shoes,12406,415,401,225,763,6144.96,8668.45,2523.49,23.03,5.95,38.53,Desktop,Card,Paused,Positive,4,2025-02-15
C021,New Launch,Awareness,Google Ads,2025-03-11,2025-03-28,100023,Customer_23,36,Female,Mumbai,Maharashtra,India,New,Electronics,Laptop,12755,700,196,143,1180,7659.41,17245.06,9585.65,65.95,5.27,120.59,Mobile,UPI,Active,Positive,3,2025-03-28
C034,Summer Sale,Promotion,Google Ads,2025-11-27,2025-12-23,100024,Customer_24,18,Female,Bengaluru,Karnataka,India,Returning,Beauty,Perfume,45772,3262,471,133,7573,5184.29,6474.71,3936.4,20.75,8.69,48.68,Desktop,Cash,Completed,Neutral,3,2025-12-23
C041,Summer Sale,Awareness,Google Ads,2025-05-08,2025-05-25,100025,Customer_25,43,Female,Hyderabad,Telangana,India,VIP,Fashion,T-Shirt,19474,1998,1658,21,4349,4110.49,15079.11,10968.62,29.03,13.9,718.05,Desktop,Cash,Paused,Positive,1,2025-05-25
C024,Mega Deal,Promotion,LinkedIn,2025-08-22,2025-09-16,100026,Customer_26,54,Male,Mumbai,Karnataka,India,New,Fashion,T-Shirt,49471,6856,803,151,15310,4541.8,15639.52,11097.72,57.92,2.32,103.57,Desktop,Card,Completed,Negative,3,2025-09-16
C007,New Launch,Promotion,LinkedIn,2025-06-01,2025-07-01,100027,Customer_27,54,Female,Hyderabad,Telangana,India,Returning,Home,Chair,48790,6549,5634,1162,11410,9690.98,32086.64,22395.66,66.51,3.78,27.61,Desktop,Card,Paused,Positive,1,2025-07-01
C020,Mega Deal,Promotion,Google Ads,2025-11-22,2025-12-10,100028,Customer_28,46,Male,Mumbai,Maharashtra,India,New,Grocery,Rice,44941,653,231,165,1904,7677.56,11145.36,3467.8,67.47,8.85,67.55,Mobile,Cash,Completed,Negative,3,2025-12-10
C007,New Launch,Sales,Instagram,2024-02-15,2024-02-26,100029,Customer_29,58,Male,Pune,Maharashtra,India,New,Home,Mixer,18693,3256,761,322,5402,1083.2,1628.03,544.83,52.12,12.58,5.06,Desktop,UPI,Completed,Neutral,4,2024-02-26
C027,Festive Offer,Awareness,LinkedIn,2024-09-17,2024-09-24,100030,Customer_30,39,Female,Mumbai,Maharashtra,India,New,Beauty,Cream,9042,1738,1082,552,3973,1399.26,11659.285,1329.62,44.08,7.46,4.94,Mobile,Net Banking,Active,Neutral,2,2024-09-24
C008,New Launch,Sales,Email,2024-01-09,2024-01-19,100031,Customer_31,55,Female,Hyderabad,Telangana,India,Returning,Home,Chair,49822,3863,3004,2491,7387,8860.03,34991.21,26131.18,42.64,8.58,14.05,Desktop,Card,Active,Positive,1,2024-01-19
C002,Festive Offer,Awareness,Instagram,2025-07-31,2025-08-28,100032,Customer_32,29,Male,Bengaluru,Karnataka,India,Returning,Fashion,T-Shirt,6257,891,219,187,1345,5161.0,18603.38,13442.38,60.25,5.97,99.48,Tablet,UPI,Completed,Neutral,3,2025-08-28
C023,Flash Sale,Sales,Email,2024-03-16,2024-04-04,100033,Customer_33,56,Female,Mumbai,Maharashtra,India,VIP,Grocery,Oil,1397,267,213,71,351,7801.15,21095.3,13294.15,40.24,13.74,297.12,Mobile,Card,Active,Positive,3,2024-04-04
C011,New Launch,Awareness,Facebook,2025-07-27,2025-08-03,100034,Customer_34,55,Male,Mumbai,Delhi,India,Returning,Beauty,Perfume,22163,4422,167,2,4628,2149.74,7112.06,4962.32,49.44,1.16,3556.03,Tablet,Cash,Paused,Positive,2,2025-08-03
C015,Flash Sale,Sales,Google Ads,2024-04-26,2024-05-15,100035,Customer_35,45,Female,Hyderabad,Telangana,India,New,Fashion,Shoes,15801,2937,2920,322,4021,9329.92,34103.54,24773.62,55.29,11.29,105.91,Desktop,Card,Completed,Neutral,4,2024-05-15
C045,New Launch,Sales,LinkedIn,2024-09-02,2024-09-20,100036,Customer_36,59,Male,Hyderabad,Telangana,India,VIP,Fashion,T-Shirt,48871,489,255,123,1443,4763.32,13087.6,8324.28,60.3,1.75,106.4,Desktop,Card,Completed,Neutral,2,2024-09-20
C029,Summer Sale,Promotion,Google Ads,2024-03-15,2024-03-23,100037,Customer_37,50,Male,Pune,Maharashtra,India,VIP,Beauty,Cream,47839,1442,80,70,3828,2407.24,5928.89,3521.65,31.18,13.78,84.7,Desktop,Card,Completed,Neutral,2,2024-03-23
C023,Festive Offer,Promotion,Facebook,2025-05-18,2025-05-28,100038,Customer_38,20,Male,Mumbai,Maharashtra,India,Returning,Fashion,T-Shirt,30621,4804,3401,1153,12814,4361.17,7514.75,3153.58,20.86,4.05,6.52,Tablet,Card,Completed,Neutral,4,2025-05-28
C014,Festive Offer,Promotion,Facebook,2024-07-01,2024-07-26,100039,Customer_39,29,Male,Delhi,Delhi,India,Returning,Fashion,T-Shirt,44589,7382,109,57,8169,4220.07,9779.98,5559.91,65.73,10.67,171.58,Mobile,Card,Completed,Neutral,3,2024-07-26
C008,New Launch,Sales,LinkedIn,2025-06-03,2025-07-03,100040,Customer_40,39,Female,Hyderabad,Telangana,India,Returning,Grocery,Oil,15274,2149,359,273,5623,8560.59,28518.01,19957.42,20.45,5.53,104.46,Tablet,Card,Paused,Neutral,5,2025-07-03
C034,Festive Offer,Promotion,LinkedIn,2024-10-21,2024-10-31,100041,Customer_41,57,Female,Bengaluru,Karnataka,India,VIP,Home,Chair,32368,5783,676,21,9550,4022.39,13743.37,9720.98,71.59,6.87,654.45,Tablet,Cash,Active,Neutral,4,2024-10-31
C001,Flash Sale,Awareness,Facebook,2025-10-31,2025-11-15,100042,Customer_42,39,Male,Mumbai,Maharashtra,India,VIP,Grocery,Rice,33278,1627,1041,551,1939,551.63,1895.61,1343.98,71.55,14.1,3.44,Tablet,Cash,Active,Positive,1,2025-11-15
C028,Summer Sale,Sales,Facebook,2025-10-27,2025-11-09,100043,Customer_43,35,Female,Delhi,Delhi,India,VIP,Grocery,Rice,22349,3561,2943,617,8793,1116.37,2232.68,1116.31,23.93,2.36,3.62,Mobile,Net Banking,Completed,Positive,5,2025-11-09
C006,Summer Sale,Promotion,LinkedIn,2024-09-09,2024-10-06,100044,Customer_44,21,Female,Mumbai,Maharashtra,India,New,Beauty,Cream,15808,2778,608,284,4540,6890.16,20117.51,13227.35,63.48,9.66,70.84,Mobile,UPI,Paused,Negative,2,2024-10-06
C011,Festive Offer,Awareness,LinkedIn,2025-02-10,2025-02-23,100045,Customer_45,41,Female,Delhi,Delhi,India,New,Grocery,Rice,25740,1864,1636,878,2815,2040.94,3307.91,1266.97,74.38,5.76,3.77,Desktop,Net Banking,Active,Positive,1,2025-02-23
C039,New Launch,Promotion,Email,2024-09-23,2024-10-21,100046,Customer_46,43,Male,Hyderabad,Telangana,India,Returning,Beauty,Cream,41863,5471,2328,22,6699,4187.64,8621.27,4433.63,25.36,7.04,391.88,Tablet,Card,Active,Negative,3,2024-10-21
C029,Flash Sale,Promotion,Instagram,2024-02-20,2024-03-10,100047,Customer_47,31,Female,Delhi,Delhi,India,Returning,Electronics,Phone,39745,2528,372,297,5249,8217.78,15222.56,7004.78,34.64,7.83,51.25,Tablet,UPI,Active,Positive,2,2024-03-10
C026,Mega Deal,Awareness,Google Ads,2024-06-01,2024-06-20,100048,Customer_48,49,Female,Mumbai,Maharashtra,India,VIP,Fashion,Shoes,48427,4687,3995,3668,7377,4989.26,14991.88,10002.62,42.82,8.45,4.09,Mobile,UPI,Completed,Negative,5,2024-06-20
C035,New Launch,Sales,Google Ads,2025-04-20,2025-04-29,100049,Customer_49,55,Male,Hyderabad,Telangana,India,Returning,Fashion,T-Shirt,20484,907,862,433,1798,2430.12,11659.285,6720.25,59.37,3.22,21.13,Mobile,UPI,Active,Negative,3,2025-04-29
C026,Mega Deal,Awareness,LinkedIn,2025-05-09,2025-05-28,100050,Customer_50,26,Female,Hyderabad,Telangana,India,VIP,Grocery,Oil,11723,759,92,78,1285,3875.24,12112.78,8237.54,55.09,10.96,155.29,Desktop,Net Banking,Active,Negative,3,2025-05-28
C035,Summer Sale,Promotion,LinkedIn,2024-02-03,2024-02-27,100051,Customer_51,33,Male,Hyderabad,Telangana,India,VIP,Beauty,Cream,10389,1305,865,570,2248,5308.02,12953.2,7645.18,65.81,2.03,22.72,Tablet,UPI,Completed,Positive,1,2024-02-27
C029,Festive Offer,Awareness,Google Ads,2024-05-10,2024-05-19,100052,Customer_52,50,Female,Delhi,Delhi,India,New,Home,Mixer,18662,3229,1281,443,8258,4165.5,6294.65,2129.15,58.49,13.16,14.21,Mobile,UPI,Active,Positive,4,2024-05-19
C044,Festive Offer,Promotion,Facebook,2024-05-24,2024-06-09,100053,Customer_53,22,Female,Hyderabad,Telangana,India,New,Electronics,Phone,25872,4410,3014,2940,7361,8723.67,16516.55,7792.88,73.96,1.48,5.62,Tablet,Cash,Active,Neutral,4,2024-06-09
C001,Flash Sale,Awareness,LinkedIn,2024-07-17,2024-07-24,100054,Customer_54,24,Male,Bengaluru,Karnataka,India,VIP,Fashion,T-Shirt,7103,206,155,21,567,2764.03,5781.66,3017.63,36.4,13.63,275.32,Desktop,Cash,Active,Neutral,5,2024-07-24
C036,New Launch,Awareness,Google Ads,2024-12-29,2025-01-10,100055,Customer_55,29,Female,Mumbai,Delhi,India,New,Electronics,Phone,12485,163,97,6,178,1511.42,3676.19,2164.77,57.32,11.22,612.7,Desktop,UPI,Paused,Neutral,3,2025-01-10
C001,Summer Sale,Promotion,Google Ads,2024-05-05,2024-05-29,100056,Customer_56,19,Male,Pune,Maharashtra,India,New,Electronics,Phone,42106,5058,4904,1671,13744,5207.55,11659.285,9300.29,41.78,12.69,8.68,Desktop,Net Banking,Paused,Positive,5,2024-05-29
C032,Summer Sale,Awareness,LinkedIn,2025-02-03,2025-02-23,100057,Customer_57,59,Female,Bengaluru,Karnataka,India,VIP,Beauty,Perfume,36552,2754,968,287,7065,2438.71,7827.18,5388.47,42.6,3.6,27.27,Desktop,Cash,Active,Positive,2,2025-02-23
C008,New Launch,Promotion,LinkedIn,2025-02-12,2025-02-28,100058,Customer_58,38,Female,Pune,Maharashtra,India,New,Fashion,T-Shirt,24245,3696,812,127,6169,6548.66,22257.89,15709.23,73.22,8.89,175.26,Mobile,Card,Active,Positive,4,2025-02-28
C034,New Launch,Sales,LinkedIn,2025-11-08,2025-11-29,100059,Customer_59,42,Male,Mumbai,Maharashtra,India,Returning,Electronics,Laptop,47114,878,821,609,1623,8860.31,28806.91,19946.6,72.64,14.62,47.3,Tablet,Net Banking,Completed,Negative,2,2025-11-29
C030,Flash Sale,Awareness,LinkedIn,2024-03-05,2024-04-03,100060,Customer_60,20,Female,Mumbai,Delhi,India,VIP,Fashion,T-Shirt,32860,2867,2812,618,5567,1117.69,4193.71,3076.02,24.1,6.51,6.79,Desktop,UPI,Paused,Positive,2,2024-04-03
C010,Mega Deal,Sales,Email,2024-10-06,2024-10-25,100061,Customer_61,37,Male,Delhi,Delhi,India,New,Grocery,Rice,32519,654,59,58,1631,8227.51,23675.06,15447.55,50.42,6.01,408.19,Tablet,Net Banking,Active,Negative,1,2024-10-25
C014,Festive Offer,Sales,Instagram,2024-11-27,2024-12-21,100062,Customer_62,50,Female,Bengaluru,Karnataka,India,Returning,Fashion,Shoes,37052,4230,2766,1247,5913,5880.91,8446.95,2566.04,49.77,4.21,6.77,Tablet,Card,Active,Positive,1,2024-12-21
